turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,alquiler_realizado,alquiler_teorico,pago_real,dinero_inicial_turno,dinero_final_turno,propiedades_antes,propiedades_despues
138,2,bob,2,5,7,20,27,no,amarillo1,propiedad,260,amarillo,no,si,52,52,8556,8504,7,7
139,3,carla,1,1,2,38,40,no,azul2,propiedad,400,azul,no,si,80,80,8614,8534,6,6
140,4,diego,2,5,7,40,7,si,gris1,propiedad,100,gris,no,si,20,20,9252,9232,4,4
141,1,ana,1,6,7,11,18,no,suerte3,suerte,0,ninguno,no,no,0,0,8320,8320,9,9
142,2,bob,3,5,8,27,35,no,verde3,propiedad,320,verde,no,si,64,64,8524,8460,7,7
143,3,carla,5,3,8,40,8,si,suerte2,suerte,0,ninguno,no,no,0,0,8598,8598,6,6
144,4,diego,4,3,7,7,14,no,rosa2,propiedad,140,rosa,no,si,28,28,9232,9204,4,4
145,1,ana,5,2,7,18,25,no,rojo3,propiedad,240,rojo,no,si,48,48,8320,8272,9,9
146,2,bob,6,4,10,35,5,si,impuesto1,impuesto,200,ninguno,no,no,0,0,8460,8460,7,7
147,3,carla,6,6,12,8,20,no,naranja3,propiedad,200,naranja,no,si,40,40,8674,8634,6,6
148,4,diego,5,5,10,14,24,no,rojo2,propiedad,220,rojo,no,si,44,44,9204,9160,4,4
149,1,ana,1,2,3,25,28,no,amarillo2,propiedad,260,amarillo,no,no,0,0,8272,8272,9,9
150,2,bob,2,4,6,5,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,8544,8544,7,7
151,3,carla,3,6,9,20,29,no,impuesto3,impuesto,100,ninguno,no,no,0,0,8634,8634,6,6
152,4,diego,4,2,6,24,30,no,amarillo3,propiedad,280,amarillo,no,si,56,56,9160,9104,4,4
153,1,ana,3,6,9,28,37,no,suerte6,suerte,0,ninguno,no,no,0,0,8272,8272,9,9
154,2,bob,3,5,8,11,19,no,naranja2,propiedad,180,naranja,no,si,36,36,8544,8508,7,7
155,3,carla,1,1,2,29,31,no,carcel,carcel,0,ninguno,no,no,0,0,8690,8690,6,6
156,4,diego,3,5,8,30,38,no,azul1,propiedad,350,azul,no,si,70,70,9140,9070,4,4
157,1,ana,3,5,8,37,5,si,impuesto1,impuesto,200,ninguno,no,no,0,0,8342,8342,9,9
158,2,bob,3,2,5,19,24,no,rojo2,propiedad,220,rojo,no,no,0,0,8508,8508,7,7
159,3,carla,6,2,8,31,39,no,impuesto4,impuesto,100,ninguno,no,no,0,0,8690,8690,6,6
160,4,diego,3,2,5,38,3,si,suerte1,suerte,0,ninguno,no,no,0,0,9070,9070,4,4
161,1,ana,2,5,7,5,12,no,rosa1,propiedad,140,rosa,no,si,28,28,8342,8314,9,9
162,2,bob,2,1,3,24,27,no,amarillo1,propiedad,260,amarillo,no,si,52,52,8536,8484,7,7
163,3,carla,6,4,10,39,9,si,gris2,propiedad,100,gris,no,si,20,20,8690,8670,6,6
164,4,diego,3,4,7,3,10,no,gris3,propiedad,120,gris,no,no,0,0,9070,9070,4,4
165,1,ana,1,5,6,12,18,no,suerte3,suerte,0,ninguno,no,no,0,0,8386,8386,9,9
166,2,bob,3,3,6,27,33,no,verde2,propiedad,300,verde,no,si,60,60,8484,8424,7,7
167,3,carla,3,2,5,9,14,no,rosa2,propiedad,140,rosa,no,no,0,0,8670,8670,6,6
168,4,diego,5,4,9,10,19,no,naranja2,propiedad,180,naranja,no,no,0,0,9130,9130,4,4
169,1,ana,5,2,7,18,25,no,rojo3,propiedad,240,rojo,no,si,48,48,8386,8338,9,9
170,2,bob,4,4,8,33,1,si,salida,salida,0,ninguno,no,no,0,0,8424,8424,7,7
171,3,carla,3,6,9,14,23,no,suerte4,suerte,0,ninguno,no,no,0,0,8718,8718,6,6
172,4,diego,6,3,9,19,28,no,amarillo2,propiedad,260,amarillo,no,si,52,52,9130,9078,4,4
173,1,ana,5,6,11,25,36,no,estacion4,estacion,200,estacion,no,si,40,40,8390,8350,9,9
174,2,bob,5,1,6,1,7,no,gris1,propiedad,100,gris,no,no,0,0,8464,8464,7,7
175,3,carla,2,3,5,23,28,no,amarillo2,propiedad,260,amarillo,no,si,52,52,8718,8666,6,6
176,4,diego,1,6,7,28,35,no,verde3,propiedad,320,verde,no,si,64,64,9078,9014,4,4
177,1,ana,6,1,7,36,3,si,suerte1,suerte,0,ninguno,no,no,0,0,8402,8402,9,9
178,2,bob,1,5,6,7,13,no,impuesto2,impuesto,150,ninguno,no,no,0,0,8464,8464,7,7
179,3,carla,4,3,7,28,35,no,verde3,propiedad,320,verde,no,no,0,0,8730,8730,6,6
180,4,diego,5,6,11,35,6,si,estacion1,estacion,200,estacion,no,si,40,40,9014,8974,4,4
181,1,ana,6,2,8,3,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,8402,8402,9,9
182,2,bob,2,4,6,13,19,no,naranja2,propiedad,180,naranja,no,si,36,36,8464,8428,7,7
183,3,carla,4,3,7,35,2,si,morado1,propiedad,60,morado,no,si,12,12,8770,8758,6,6
184,4,diego,1,3,4,6,10,no,gris3,propiedad,120,gris,no,no,0,0,9022,9022,4,4
185,1,ana,4,4,8,11,19,no,naranja2,propiedad,180,naranja,no,si,36,36,8402,8366,9,9
186,2,bob,3,2,5,19,24,no,rojo2,propiedad,220,rojo,no,no,0,0,8428,8428,7,7
187,3,carla,3,4,7,2,9,no,gris2,propiedad,100,gris,no,si,20,20,8758,8738,6,6
188,4,diego,2,3,5,10,15,no,rosa3,propiedad,160,rosa,no,si,32,32,9058,9026,4,4
189,1,ana,3,1,4,19,23,no,suerte4,suerte,0,ninguno,no,no,0,0,8386,8386,9,9
190,2,bob,6,2,8,24,32,no,verde1,propiedad,300,verde,no,no,0,0,8428,8428,7,7
191,3,carla,5,1,6,9,15,no,rosa3,propiedad,160,rosa,no,no,0,0,8770,8770,6,6
192,4,diego,1,1,2,15,17,no,naranja1,propiedad,180,naranja,no,si,36,36,9026,8990,4,4
193,1,ana,4,1,5,23,28,no,amarillo2,propiedad,260,amarillo,no,no,0,0,8422,8422,9,9
194,2,bob,1,5,6,32,38,no,azul1,propiedad,350,azul,no,si,70,70,8428,8358,7,7
195,3,carla,4,6,10,15,25,no,rojo3,propiedad,240,rojo,no,no,0,0,8770,8770,6,6
196,4,diego,2,1,3,17,20,no,naranja3,propiedad,200,naranja,no,si,40,40,8990,8950,4,4
197,1,ana,6,5,11,28,39,no,impuesto4,impuesto,100,ninguno,no,no,0,0,8492,8492,9,9
198,2,bob,2,1,3,38,1,si,salida,salida,0,ninguno,no,no,0,0,8398,8398,7,7
199,3,carla,6,4,10,25,35,no,verde3,propiedad,320,verde,no,no,0,0,8770,8770,6,6
200,4,diego,5,3,8,20,28,no,amarillo2,propiedad,260,amarillo,no,si,52,52,8950,8898,4,4
