turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,dinero_antes_compra,dinero_despues_compra,propiedades_antes,propiedades_despues
155,1,ana,3,6,9,23,32,no,verde1,propiedad,300,verde,no,8090,8090,10,10
156,2,bob,3,5,8,11,19,no,naranja2,propiedad,180,naranja,no,6920,6920,14,14
157,1,ana,1,1,2,32,34,no,suerte5,suerte,0,ninguno,no,8090,8090,10,10
158,2,bob,3,5,8,19,27,no,amarillo1,propiedad,260,amarillo,no,6920,6920,14,14
159,1,ana,3,5,8,34,2,si,morado1,propiedad,60,morado,no,8090,8090,10,10
160,2,bob,3,2,5,27,32,no,verde1,propiedad,300,verde,no,6920,6920,14,14
161,1,ana,6,2,8,2,10,no,gris3,propiedad,120,gris,no,8090,8090,10,10
162,2,bob,3,2,5,32,37,no,suerte6,suerte,0,ninguno,no,6920,6920,14,14
163,1,ana,2,5,7,10,17,no,naranja1,propiedad,180,naranja,no,8090,8090,10,10
164,2,bob,2,1,3,37,40,no,azul2,propiedad,400,azul,no,6920,6920,14,14
165,1,ana,6,4,10,17,27,no,amarillo1,propiedad,260,amarillo,no,8090,8090,10,10
166,2,bob,3,4,7,40,7,si,gris1,propiedad,100,gris,no,6920,6920,14,14
167,1,ana,1,5,6,27,33,no,verde2,propiedad,300,verde,no,8090,8090,10,10
168,2,bob,3,3,6,7,13,no,impuesto2,impuesto,150,ninguno,no,6920,6920,14,14
169,1,ana,3,2,5,33,38,no,azul1,propiedad,350,azul,no,8090,8090,10,10
170,2,bob,5,4,9,13,22,no,rojo1,propiedad,220,rojo,no,6920,6920,14,14
171,1,ana,5,2,7,38,5,si,impuesto1,impuesto,200,ninguno,no,8090,8090,10,10
172,2,bob,4,4,8,22,30,no,amarillo3,propiedad,280,amarillo,no,6920,6920,14,14
173,1,ana,3,6,9,5,14,no,rosa2,propiedad,140,rosa,no,8090,8090,10,10
174,2,bob,6,3,9,30,39,no,impuesto4,impuesto,100,ninguno,no,6920,6920,14,14
175,1,ana,5,6,11,14,25,no,rojo3,propiedad,240,rojo,no,8090,8090,10,10
176,2,bob,5,1,6,39,5,si,impuesto1,impuesto,200,ninguno,no,6920,6920,14,14
177,1,ana,2,3,5,25,30,no,amarillo3,propiedad,280,amarillo,no,8090,8090,10,10
178,2,bob,1,6,7,5,12,no,rosa1,propiedad,140,rosa,no,6920,6920,14,14
179,1,ana,6,1,7,30,37,no,suerte6,suerte,0,ninguno,no,8090,8090,10,10
180,2,bob,1,5,6,12,18,no,suerte3,suerte,0,ninguno,no,6920,6920,14,14
181,1,ana,4,3,7,37,4,si,morado2,propiedad,60,morado,no,8090,8090,10,10
182,2,bob,5,6,11,18,29,no,impuesto3,impuesto,100,ninguno,no,6920,6920,14,14
183,1,ana,6,2,8,4,12,no,rosa1,propiedad,140,rosa,no,8090,8090,10,10
184,2,bob,2,4,6,29,35,no,verde3,propiedad,320,verde,no,6920,6920,14,14
185,1,ana,4,3,7,12,19,no,naranja2,propiedad,180,naranja,no,8090,8090,10,10
186,2,bob,1,3,4,35,39,no,impuesto4,impuesto,100,ninguno,no,6920,6920,14,14
187,1,ana,4,4,8,19,27,no,amarillo1,propiedad,260,amarillo,no,8090,8090,10,10
188,2,bob,3,2,5,39,4,si,morado2,propiedad,60,morado,no,6920,6920,14,14
189,1,ana,3,4,7,27,34,no,suerte5,suerte,0,ninguno,no,8090,8090,10,10
190,2,bob,2,3,5,4,9,no,gris2,propiedad,100,gris,no,6920,6920,14,14
191,1,ana,3,1,4,34,38,no,azul1,propiedad,350,azul,no,8090,8090,10,10
192,2,bob,6,2,8,9,17,no,naranja1,propiedad,180,naranja,no,6920,6920,14,14
193,1,ana,5,1,6,38,4,si,morado2,propiedad,60,morado,no,8090,8090,10,10
194,2,bob,1,1,2,17,19,no,naranja2,propiedad,180,naranja,no,6920,6920,14,14
195,1,ana,4,1,5,4,9,no,gris2,propiedad,100,gris,no,8090,8090,10,10
196,2,bob,1,5,6,19,25,no,rojo3,propiedad,240,rojo,no,6920,6920,14,14
197,1,ana,4,6,10,9,19,no,naranja2,propiedad,180,naranja,no,8090,8090,10,10
198,2,bob,2,1,3,25,28,no,amarillo2,propiedad,260,amarillo,no,6920,6920,14,14
199,1,ana,6,5,11,19,30,no,amarillo3,propiedad,280,amarillo,no,8090,8090,10,10
200,2,bob,2,1,3,28,31,no,carcel,carcel,0,ninguno,no,6920,6920,14,14
