turno,jugador,monopoly,casas_compradas,coste_casas,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_monopoly,dinero_tras_carcel,dinero_final,props_antes,props_despues
129,irene,no,0,0,rojo1,propiedad,no,si,no,no,no,no,9758,9758,9758,9714,3,3
130,javier,no,0,0,suerte3,suerte,no,no,no,no,no,no,9266,9266,9266,9266,0,0
131,ana,no,0,0,verde2,propiedad,no,si,no,no,no,no,9200,9200,9200,9140,2,2
132,bob,no,0,0,impuesto3,impuesto,no,no,si,no,no,no,9184,9184,9184,9084,3,3
133,carla,no,0,0,rosa2,propiedad,no,si,no,no,no,no,9348,9348,9348,9320,4,4
134,diego,no,0,0,amarillo3,propiedad,no,si,no,no,no,no,9260,9260,9260,9204,1,1
135,elena,no,0,0,suerte3,suerte,no,no,no,no,no,no,9040,9040,9040,9040,3,3
136,fernando,no,0,0,estacion3,estacion,no,si,no,no,no,no,9400,9400,9400,9360,2,2
137,gema,no,0,0,verde1,propiedad,no,si,no,no,no,no,10009,10009,10009,9949,2,2
138,hugo,no,0,0,gris1,propiedad,no,si,no,no,no,no,8970,8970,8970,8950,5,5
139,irene,no,0,0,amarillo1,propiedad,no,si,no,no,no,no,9794,9794,9794,9742,3,3
140,javier,no,0,0,rojo3,propiedad,no,si,no,no,no,no,9266,9266,9266,9218,0,0
141,ana,no,0,0,verde3,propiedad,no,si,no,no,no,no,9180,9180,9180,9116,2,2
142,bob,no,0,0,estacion4,estacion,no,si,no,no,no,no,9140,9140,9140,9100,3,3
143,carla,no,0,0,parking,parking,no,no,no,si,no,no,9432,9432,9432,9735,4,4
144,diego,no,0,0,azul1,propiedad,no,si,no,no,no,no,9204,9204,9204,9134,1,1
145,elena,no,0,0,estacion3,estacion,no,si,no,no,no,no,9140,9140,9140,9100,3,3
146,fernando,no,0,0,verde2,propiedad,no,si,no,no,no,no,9360,9360,9360,9300,2,2
147,gema,no,0,0,impuesto4,impuesto,no,no,si,no,no,no,9949,9949,9949,9849,2,2
148,hugo,no,0,0,naranja1,propiedad,no,no,no,no,no,no,9002,9002,9002,9002,5,5
149,irene,no,0,0,impuesto4,impuesto,no,no,si,no,no,no,9802,9802,9802,9702,3,3
150,javier,no,0,0,verde3,propiedad,no,si,no,no,no,no,9218,9218,9218,9154,0,0
151,ana,no,0,0,azul1,propiedad,no,si,no,no,no,no,9156,9156,9156,9086,2,2
152,bob,no,0,0,morado1,propiedad,si,no,no,no,no,no,9240,9240,9240,9180,3,4
153,carla,no,0,0,amarillo3,propiedad,no,si,no,no,no,no,9799,9799,9799,9743,4,4
154,diego,no,0,0,morado2,propiedad,no,si,no,no,no,no,9134,9134,9134,9122,1,1
155,elena,no,0,0,verde3,propiedad,no,si,no,no,no,no,9100,9100,9100,9036,3,3
156,fernando,no,0,0,salida,salida,no,no,no,no,no,no,9300,9300,9300,9300,2,2
157,gema,no,0,0,salida,salida,no,no,no,no,no,no,9849,9849,9849,9849,2,2
158,hugo,no,0,0,rojo3,propiedad,no,si,no,no,no,no,9014,9014,9014,8966,5,5
159,irene,no,0,0,gris1,propiedad,no,no,no,no,no,no,9702,9702,9702,9702,3,3
160,javier,no,0,0,azul2,propiedad,no,si,no,no,no,no,9154,9154,9154,9074,0,0
161,ana,no,0,0,estacion1,estacion,no,si,no,no,no,no,9086,9086,9086,9046,2,2
162,bob,no,0,0,gris1,propiedad,no,si,no,no,no,no,9236,9236,9236,9216,4,4
163,carla,no,0,0,suerte6,suerte,no,no,no,no,no,no,9855,9855,9855,9855,4,4
164,diego,no,0,0,gris1,propiedad,no,si,no,no,no,no,9162,9162,9162,9142,1,1
165,elena,no,0,0,impuesto1,impuesto,no,no,si,no,no,no,9116,9116,9116,8916,3,3
166,fernando,no,0,0,suerte2,suerte,no,no,no,no,no,no,9300,9300,9300,9300,2,2
167,gema,no,0,0,gris1,propiedad,no,si,no,no,no,no,9849,9849,9849,9829,2,2
168,hugo,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,8966,8966,8966,8966,5,5
169,irene,no,0,0,rosa1,propiedad,no,si,no,no,no,no,9762,9762,9762,9734,3,3
170,javier,no,0,0,gris2,propiedad,no,si,no,no,no,no,9074,9074,9074,9054,0,0
171,ana,no,0,0,impuesto2,impuesto,no,no,si,no,no,no,9046,9046,9046,8896,2,2
172,bob,no,0,0,rosa3,propiedad,no,si,no,no,no,no,9216,9216,9216,9184,4,4
173,carla,no,0,0,estacion1,estacion,no,si,no,no,no,no,9875,9875,9875,9835,4,4
174,diego,no,0,0,estacion2,estacion,no,si,no,no,no,no,9182,9182,9182,9142,1,1
175,elena,no,0,0,estacion2,estacion,no,si,no,no,no,no,8916,8916,8916,8876,3,3
176,fernando,no,0,0,rosa2,propiedad,no,si,no,no,no,no,9380,9380,9380,9352,2,2
177,gema,no,0,0,rosa1,propiedad,no,si,no,no,no,no,9889,9889,9889,9861,2,2
178,hugo,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9022,9022,9022,9022,5,5
179,irene,no,0,0,naranja2,propiedad,no,si,no,no,no,no,9734,9734,9734,9698,3,3
180,javier,no,0,0,rosa3,propiedad,no,si,no,no,no,no,9054,9054,9054,9022,0,0
181,ana,no,0,0,naranja3,propiedad,no,no,no,no,no,no,8896,8896,8896,8896,2,2
182,bob,no,0,0,estacion3,estacion,no,si,no,no,no,no,9184,9184,9184,9144,4,4
183,carla,no,0,0,rosa2,propiedad,no,si,no,no,no,no,9871,9871,9871,9843,4,4
184,diego,no,0,0,rojo1,propiedad,no,si,no,no,no,no,9142,9142,9142,9098,1,1
185,elena,no,0,0,suerte4,suerte,no,no,no,no,no,no,8876,8876,8876,8876,3,3
186,fernando,no,0,0,suerte3,suerte,no,no,no,no,no,no,9352,9352,9352,9352,2,2
187,gema,no,0,0,naranja3,propiedad,no,si,no,no,no,no,9921,9921,9921,9881,2,2
188,hugo,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9022,9022,9022,9022,5,5
189,irene,no,0,0,estacion3,estacion,no,si,no,no,no,no,9698,9698,9698,9658,3,3
190,javier,no,0,0,naranja3,propiedad,no,si,no,no,no,no,9022,9022,9022,8982,0,0
191,ana,no,0,0,rojo2,propiedad,no,si,no,no,no,no,9056,9056,9056,9012,2,2
192,bob,no,0,0,suerte5,suerte,no,no,no,no,no,no,9188,9188,9188,9188,4,4
193,carla,no,0,0,naranja3,propiedad,no,si,no,no,no,no,9843,9843,9843,9803,4,4
194,diego,no,0,0,rojo2,propiedad,no,si,no,no,no,no,9098,9098,9098,9054,1,1
195,elena,no,0,0,amarillo2,propiedad,no,si,no,no,no,no,8876,8876,8876,8824,3,3
196,fernando,no,0,0,rojo2,propiedad,no,no,no,no,no,no,9440,9440,9440,9440,2,2
197,gema,no,0,0,amarillo3,propiedad,no,si,no,no,no,no,9881,9881,9881,9825,2,2
198,hugo,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9074,9074,9074,9074,5,5
199,irene,no,0,0,suerte6,suerte,no,no,no,no,no,no,9658,9658,9658,9658,3,3
200,javier,no,0,0,suerte4,suerte,no,no,no,no,no,no,8982,8982,8982,8982,0,0
201,ana,no,0,0,suerte5,suerte,no,no,no,no,no,no,9052,9052,9052,9052,2,2
202,bob,no,0,0,morado1,propiedad,no,no,no,no,no,no,9244,9244,9244,9244,4,4
203,carla,no,0,0,suerte4,suerte,no,no,no,no,no,no,9803,9803,9803,9803,4,4
204,diego,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9054,9054,9054,9054,1,1
205,elena,no,0,0,verde2,propiedad,no,si,no,no,no,no,8824,8824,8824,8764,3,3
206,fernando,no,0,0,verde3,propiedad,no,si,no,no,no,no,9440,9440,9440,9376,2,2
207,gema,no,0,0,estacion4,estacion,no,si,no,no,no,no,9825,9825,9825,9785,2,2
208,hugo,no,0,0,naranja3,propiedad,no,si,no,no,no,no,9074,9074,9074,9034,5,5
209,irene,no,0,0,suerte1,suerte,no,no,no,no,no,no,9718,9718,9718,9718,3,3
210,javier,no,0,0,amarillo3,propiedad,no,si,no,no,no,no,8982,8982,8982,8926,0,0
211,ana,no,0,0,azul2,propiedad,no,si,no,no,no,no,9092,9092,9092,9012,2,2
212,bob,no,0,0,morado2,propiedad,no,si,no,no,no,no,9300,9300,9300,9288,4,4
213,carla,no,0,0,verde1,propiedad,no,si,no,no,no,no,9867,9867,9867,9807,4,4
214,diego,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9054,9054,9054,9054,1,1
215,elena,no,0,0,salida,salida,no,no,no,no,no,no,8944,8944,8944,8944,3,3
216,fernando,no,0,0,suerte1,suerte,no,no,no,no,no,no,9376,9376,9376,9376,2,2
217,gema,no,0,0,azul2,propiedad,no,si,no,no,no,no,9785,9785,9785,9705,2,2
218,hugo,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9046,9046,9046,9046,5,5
219,irene,no,0,0,gris3,propiedad,no,no,no,no,no,no,9718,9718,9718,9718,3,3
220,javier,no,0,0,suerte6,suerte,no,no,no,no,no,no,8926,8926,8926,8926,0,0
221,ana,no,0,0,impuesto1,impuesto,no,no,si,no,no,no,9012,9012,9012,8812,2,2
222,bob,no,0,0,rosa1,propiedad,no,si,no,no,no,no,9288,9288,9288,9260,4,4
223,carla,no,0,0,impuesto4,impuesto,no,no,si,no,no,no,9807,9807,9807,9707,4,4
224,diego,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9054,9054,9054,9054,1,1
225,elena,no,0,0,estacion1,estacion,no,si,no,no,no,no,9024,9024,9024,8984,3,3
226,fernando,no,0,0,gris3,propiedad,no,si,no,no,no,no,9376,9376,9376,9352,2,2
227,gema,no,0,0,estacion1,estacion,no,si,no,no,no,no,9705,9705,9705,9665,2,2
228,hugo,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9074,9074,9074,9074,5,5
229,irene,no,0,0,rosa2,propiedad,no,si,no,no,no,no,9742,9742,9742,9714,3,3
230,javier,no,0,0,impuesto1,impuesto,no,no,si,no,no,no,8926,8926,8926,8726,0,0
231,ana,no,0,0,gris3,propiedad,no,si,no,no,no,no,8812,8812,8812,8788,2,2
232,bob,no,0,0,naranja1,propiedad,no,si,no,no,no,no,9260,9260,9260,9224,4,4
233,carla,no,0,0,impuesto1,impuesto,no,no,si,no,no,no,9707,9707,9707,9507,4,4
234,diego,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9134,9134,9134,9134,1,1
235,elena,no,0,0,naranja1,propiedad,no,si,no,no,no,no,8984,8984,8984,8948,3,3
236,fernando,no,0,0,estacion2,estacion,no,no,no,no,no,no,9352,9352,9352,9352,2,2
