turno,indice_jugador,jugador,estado_carcel_antes,decision_carcel,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,alquiler_realizado,alquiler_teorico,pago_real,dinero_inicial_turno,dinero_tras_carcel,dinero_final_turno,propiedades_antes,propiedades_despues,turno_perdido_carcel
54,2,bob,libre,no_aplica,4,6,10,29,39,no,impuesto4,impuesto,100,ninguno,no,no,0,0,7740,7740,7740,11,11,no
55,1,ana,libre,no_aplica,6,3,9,19,28,no,amarillo2,propiedad,260,amarillo,no,si,52,52,8200,8200,8148,9,9,no
56,2,bob,libre,no_aplica,3,6,9,39,8,si,suerte2,suerte,0,ninguno,no,no,0,0,7792,7792,7792,11,11,no
57,1,ana,libre,no_aplica,5,6,11,28,39,no,impuesto4,impuesto,100,ninguno,no,no,0,0,8148,8148,8148,9,9,no
58,2,bob,libre,no_aplica,4,4,8,8,16,no,estacion2,estacion,200,estacion,no,no,0,0,7792,7792,7792,11,11,no
59,1,ana,libre,no_aplica,1,6,7,39,6,si,estacion1,estacion,200,estacion,no,si,40,40,8148,8148,8108,9,9,no
60,2,bob,libre,no_aplica,6,2,8,16,24,no,rojo2,propiedad,220,rojo,si,no,0,0,7832,7832,7612,11,12,no
61,1,ana,libre,no_aplica,3,6,9,6,15,no,rosa3,propiedad,160,rosa,no,no,0,0,8108,8108,8108,9,9,no
62,2,bob,libre,no_aplica,3,1,4,24,28,no,amarillo2,propiedad,260,amarillo,no,no,0,0,7612,7612,7612,12,12,no
63,1,ana,libre,no_aplica,6,6,12,15,27,no,amarillo1,propiedad,260,amarillo,si,no,0,0,8108,8108,7848,9,10,no
64,2,bob,libre,no_aplica,6,2,8,28,36,no,estacion4,estacion,200,estacion,no,no,0,0,7612,7612,7612,12,12,no
65,1,ana,libre,no_aplica,4,3,7,27,34,no,suerte5,suerte,0,ninguno,no,no,0,0,7848,7848,7848,10,10,no
66,2,bob,libre,no_aplica,3,3,6,36,2,si,morado1,propiedad,60,morado,si,no,0,0,7612,7612,7552,12,13,no
67,1,ana,libre,no_aplica,5,4,9,34,3,si,suerte1,suerte,0,ninguno,no,no,0,0,7848,7848,7848,10,10,no
68,2,bob,libre,no_aplica,1,4,5,2,7,no,gris1,propiedad,100,gris,no,no,0,0,7552,7552,7552,13,13,no
69,1,ana,libre,no_aplica,3,3,6,3,9,no,gris2,propiedad,100,gris,no,no,0,0,7848,7848,7848,10,10,no
70,2,bob,libre,no_aplica,3,3,6,7,13,no,impuesto2,impuesto,150,ninguno,no,no,0,0,7552,7552,7552,13,13,no
71,1,ana,libre,no_aplica,6,5,11,9,20,no,naranja3,propiedad,200,naranja,no,no,0,0,7848,7848,7848,10,10,no
72,2,bob,libre,no_aplica,6,3,9,13,22,no,rojo1,propiedad,220,rojo,no,no,0,0,7552,7552,7552,13,13,no
73,1,ana,libre,no_aplica,4,2,6,20,26,no,estacion3,estacion,200,estacion,no,si,40,40,7848,7848,7808,10,10,no
74,2,bob,libre,no_aplica,5,3,8,22,30,no,amarillo3,propiedad,280,amarillo,no,no,0,0,7592,7592,7592,13,13,no
75,1,ana,libre,no_aplica,6,1,7,26,33,no,verde2,propiedad,300,verde,no,no,0,0,7808,7808,7808,10,10,no
76,2,bob,libre,no_aplica,1,4,5,30,35,no,verde3,propiedad,320,verde,si,no,0,0,7592,7592,7272,13,14,no
77,1,ana,libre,no_aplica,3,4,7,33,40,no,azul2,propiedad,400,azul,no,no,0,0,7808,7808,7808,10,10,no
78,2,bob,libre,no_aplica,2,6,8,35,3,si,suerte1,suerte,0,ninguno,no,no,0,0,7272,7272,7272,14,14,no
79,1,ana,libre,no_aplica,5,1,6,40,6,si,estacion1,estacion,200,estacion,no,si,40,40,7808,7808,7768,10,10,no
80,2,bob,libre,no_aplica,2,2,4,3,7,no,gris1,propiedad,100,gris,no,no,0,0,7312,7312,7312,14,14,no
81,1,ana,libre,no_aplica,6,6,12,6,18,no,suerte3,suerte,0,ninguno,no,no,0,0,7768,7768,7768,10,10,no
82,2,bob,libre,no_aplica,2,6,8,7,15,no,rosa3,propiedad,160,rosa,no,si,32,32,7312,7312,7280,14,14,no
83,1,ana,libre,no_aplica,3,2,5,18,23,no,suerte4,suerte,0,ninguno,no,no,0,0,7800,7800,7800,10,10,no
84,2,bob,libre,no_aplica,1,3,4,15,19,no,naranja2,propiedad,180,naranja,no,si,36,36,7280,7280,7244,14,14,no
85,1,ana,libre,no_aplica,1,5,6,23,29,no,impuesto3,impuesto,100,ninguno,no,no,0,0,7836,7836,7836,10,10,no
86,2,bob,libre,no_aplica,5,5,10,19,29,no,impuesto3,impuesto,100,ninguno,no,no,0,0,7244,7244,7244,14,14,no
87,1,ana,libre,no_aplica,2,2,4,29,33,no,verde2,propiedad,300,verde,no,no,0,0,7836,7836,7836,10,10,no
88,2,bob,libre,no_aplica,5,4,9,29,38,no,azul1,propiedad,350,azul,si,no,0,0,7244,7244,6894,14,15,no
89,1,ana,libre,no_aplica,5,6,11,33,4,si,morado2,propiedad,60,morado,no,no,0,0,7836,7836,7836,10,10,no
90,2,bob,libre,no_aplica,4,2,6,38,4,si,morado2,propiedad,60,morado,no,si,12,12,6894,6894,6882,15,15,no
91,1,ana,libre,no_aplica,1,4,5,4,9,no,gris2,propiedad,100,gris,no,no,0,0,7848,7848,7848,10,10,no
92,2,bob,libre,no_aplica,4,3,7,4,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,6882,6882,6882,15,15,no
93,1,ana,libre,no_aplica,1,1,2,9,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7848,7848,7848,10,10,no
94,2,bob,libre,no_aplica,5,4,9,11,20,no,naranja3,propiedad,200,naranja,no,si,40,40,6882,6882,6842,15,15,no
95,1,ana,libre,no_aplica,2,5,7,11,18,no,suerte3,suerte,0,ninguno,no,no,0,0,7888,7888,7888,10,10,no
96,2,bob,libre,no_aplica,4,4,8,20,28,no,amarillo2,propiedad,260,amarillo,no,no,0,0,6842,6842,6842,15,15,no
97,1,ana,libre,no_aplica,1,5,6,18,24,no,rojo2,propiedad,220,rojo,no,si,44,44,7888,7888,7844,10,10,no
